,title,director,genre,release_date,company,star_1,star_2,star_3
39,Separate Lives 2,Kabat Esosa Egbon,Drama,2004,Kas-Vid International,Bimbo Akintola,Enebeli Elebuwa,Uche Iwuji
40,One Life,Tchidi Chikere,Drama,2007,O. Gabby Innovations,Tchidi Chikere,Link Edochie,Desmond Elliot
41,Holy City 2,Ilochi Olisaemeka,Drama,2008,Social Movies,Emeka Amakeze,Mike Ezuruonye,Jim Iyke
42,Help Me Out,Chika Onu,Drama,2007,Andy Best Electronics,Sam Loco Efe,Obi Madubogwu,Patience Ozokwor
43,Asiko mi leyi,Micheal Oladele,Drama,2007,Corporate Pictures,Funso Adeolu,Fathia Balogun,
44,Read My Body,Theo-Ziny Joel,Short,2022,Zinifrica,Brabisco,Nobweseh Samuel Cleopas,Fountain Gabriel
45,Recession Blues,Kabat Esosa Egbon,Drama,2018,Little Brothers Global Entertainment,Uduak Akrah,Stephen Alajemba,Shirleyann Ede
46,Strange Love 2,Theodore Anyanji,Drama,2006,Guniks Investment,Chioma Chukwuka Akpotha,Desmond Elliot,Jim Lawson
47,Feel My Pain 2,Afam Okereke,Drama,2008,Magic Movies Production,Mike Ezuruonye,Uche Jombo,Leo Mezie
48,My Promise 2,Moses Ebere,Drama,2006,Somaco Ind.,Zulu Adigwe,Chiege Alisigwe,Chidi Ihesie
49,One God One Nation 2,Reginald Ebere,Drama,2005,P. Collins Productions,Ini Edo,Justus Esiri,Chika Ike
50,Becoming Mrs. Eze,Paul Iheanyichukwu Igwe,Drama,2022,African Movie Channel,Frankincense Eche-Ben,Ego Nwosu,Maryjane Ogu
51,Mustapha,Dimeji Ajibola,Drama,2019,"Mela Movies,Rok Studios",Chiege Alisigwe,Chinonso Arubayi,Chelsea Eze
52,Pretty Angels,Simi Opeoluwa,Drama,2005,Andy Best Electronics,Tina Amuziam,Cici Carmen,Kemy Damosi
53,Last Confession 2,Sunday Nnajiude,Comedy,2005,Edumaco Movies International,Fabian Adibe,Chiwetalu Agu,Enebeli Elebuwa
54,Romeo,William Charles Agbo,Drama,2006,Uche Links Movies,Monalisa Chinda,Desmond Elliot,Chinwe Owoh
55,Forest of Tears 3,Ifeanyi Ogbonna,Drama,2009,Onyu Best Bright,Kofi Adjorlolo,Walter Anga,Tonto Charity Dikeh
56,Take Me to Jesus,Francis Agu,Drama,2008,Sunshine Movies,Clarion Chukwura-Abiola,Kate Henshaw-Nuttal,Seye Johnson
57,Exit Plan,Biodun Stephen,Drama,2023,ShutterSpeed Projects,Jennifer Eliogu,Ebere Nwosu,Wole Ojo
58,Governor's Wife 2,Victor Emeghara,Short,2007,Kachris Production,Rychardo Agbor,Peter Bunor,Ini Ikpe
59,Clean Up,MacCollins Chidebe,Drama,2003,Annex Merchandise Ltd.,Rich Azu,Kenneth Chukwu,Clarion Chukwura-Abiola
60,Clash of Destiny,Adim Williams,Drama,2005,Simony Productions,Franca Brown,Emeka Enyiocha,Ashley Nwosu
61,Sadauki,Hassan Giggs,Drama,2019,Giggs International,Isa Adamu,Tijjani Asase,Sah Feroz Khan
62,The Sync,Saheed Apanpa,Drama,2017,Bright Pictures Production,Esther Audu,Nazo Ekezie,Keppy Ekpenyong-Bassey
63,The Reason It's You,Alaundra Ada Dikesee,Drama,2016,Avail Media Productions,Alaundra Ada Dikesee,Chris Okagbue,
64,Naked Sin,Leo Onwordi,Drama,2006,Frontmaster International,Chioma Chukwuka Akpotha,Desmond Elliot,Funmi Holder
65,The Broken Shield 2,Izu Ojukwu,Drama,2006,Mauri Production,Ngozi Ezeonu,Alex Usifo Omiagbo,Patience Ozokwor
66,Desperate Billionare 2,Michael Jaja,Drama,2005,A-Z Production,Bimbo Akintola,Rita Dominic,Ini Edo
67,The Prince and Me,Ikechukwu Onyeka,Drama,2007,Tony Nwatu Production,Chioma Chukwuka Akpotha,Emeka Amakeze,Mike Ezuruonye
68,Odaju obinrin,Kolade Kadesh Prince,Drama,2006,Gigatt Productions,Aisha Abimbola,Funso Adeolu,Yemi Solade
69,Jealous Friend 3,Ifeanyi Ogbonna,Drama,2009,Demek Movies,Kofi Adjorlolo,Chidiebere Aneke,Chidinma Aneke
70,Ebi Tani,Festus Olalekan Dairo,Adventure,2020,All Nations Baptists Church,Ofere Blessing,Isarinde Damilola,Abiodun Dare
71,Missing 'U',Henry Czar Ejeta,Romance,2003,Elonel International Ltd.,Emeka Ike,Ebube Nwagbo,
72,Dangerous Return,Henry Czar Ejeta,Action,2006,Golden Movies,Alex Lopez,J.T. Tom West,
73,Arigbabuwo 2,Mustapha Bakry,Drama,2007,"Millennium Films,Otolo Films Production",Yomi Fash-Lanso,Dele Odule,
74,Iyanga,Chico Ejiro,Comedy,2003,Grand Touch Pictures,Diewait Ikpechukwu,Victoria Inyama,Larry Koldsweat
75,Blood on the Altar,"Mike Bamiloye,Elvon Jarrett",Drama,2006,Mount Zion Media Connections,Elizabeth-Ore Adewole,Gloria Bamiloye,Nike Fasikun
76,Mother Love,Biodun Stephen,Drama,2019,"Rok Studios,ShutterSpeed Projects",Seun Bobade,Kelvin Chukwuemeka,Ebenezer Eno
77,For Real,Aguila Njamah,Drama,2004,Ulzee Nigerian Ltd.,Remi Abiola,Peter Agbo,Dakore Akande
78,Sebeeyan ni 2,Olaide Olabanji,Drama,2006,Lai-Ban Films International,Olaide Olabanji,Akinyemi Olaiya,Yinka Quadri
79,Blind to See,Simon Peacemaker,Drama,2016,Adekaz Productions,Keira Hewatch,Stan Nze,Melvin Oduah
80,Bachelor's Eve,Rotimi Raji,Comedy,2018,Juma Communications,Gbenro Ajibade,Kehinde Bankole,Frankincense Eche-Ben
81,Beyond Dreams,Afam Okereke,Drama,2006,Master-Mind Production,Oge Okoye,Patience Ozokwor,Bob-Manuel Udokwu
82,Bridges,Rogers Ofime,Short,2019,"Native Media,Wonda Studios",Uche Mac-Auley,Elma Mbadiwe,Mohammed Olakunle Mutair
83,My Everlasting Love 2,Ikechukwu Onyeka,Drama,2007,"Chidoo Investment,Naidon Films,One & Two Film",Desmond Elliot,Queen Nwokoye,Oge Okoye
84,The World of Riches,Ifeanyi Ikpoenyi,Drama,2006,Deraco Productions,Clarion Chukwura-Abiola,Clem Ohameze,Ngozi Ezeonu
85,Strength of a Woman,Tarila Thompson,Drama,2004,Ultimark Ventures,Emeka Ike,Stephanie Linus,
86,The Funeral,"Odiachi Ashimedua,Godwin Nzekwe",Short,2022,EbonyLife Creative Academy,Peace Adebowale,Mayowa Damola,Ebube Dike
87,Brave Mind 2,Michael Jaja,Drama,2012,Magic Movies Production,Mercy Johnson Okojie,Artus Frank,Eve Esin
88,Love & Affliction,Ehime Akhaile,Romance,2004,Soft Touch Movies International,Sam Obiakeme,Angela Phillips,Tony Umez
89,King of Kings 2,Iyke Odife,Drama,2009,Angelcom Entertainment,Uju Aroh,Jim Iyke,Nuella Njubigbo
90,Dark Closet,Saheed Apanpa,Drama,2015,"Mac Rissals Pictures,Uzee Multi Concept",Eucharia Anunobi Ekwu,Jibola Dabo,Sani Danja
91,Across the River,MacCollins Chidebe,Drama,2006,Coruma International,Somadina Adinma,Jerry Amilo,Authur Bengil
92,Rhythm of Love 2,Charles Inojie,Drama,2007,"De-Kross Movie Production,Simony Productions",Chiwetalu Agu,Monalisa Chinda,Francis Duru
93,The MatchMaker,Saheed Apanpa,Romance,2015,Tog Media Films,Chuks Anyaduba,Brycee Adiah Bassey,Kaypee Charles
94,Eyin ogongo,Ade Ajiboye,Drama,2002,Aje-Oeokun Film,Rasaq Ajao,Gbolagbade Akinpelu,Adewale Elesho
95,Tomorrow Must Wait 3,Ikechukwu Onyeka,Drama,2008,Naidon Films,Nadia Buari,Nonso Diobi,Omotola Jalade-Ekeinde
96,A Fire in the Rain,Chris Eneaji Eneng,Drama,2017,WH Productions,Yvonne Jegede,Bolanle Ninalowo,Kelly Ochonogor
97,Opin aiye,Lasun Ray-Eyiwumi,Drama,2008,Toymax Films Holding,Olumide Bakare,Iyabo Ojo,Rose Osanaiye
98,Jealousy,Ndubuisi Okoh,Drama,2006,"I.G. Best Industries,Rolex Electronics",Emeka Ike,Omotola Jalade-Ekeinde,Tony Umez
99,The Screenplay,Emmanuel Mang Eme,Thriller,2017,Mistamang Productions,Mercy Aigbe,Mike Ezuruonye,Ejike Ibedilo
100,Distance Between,Izu Ojukwu,Drama,2008,O. J. Productions,Yemi Blaq,Rita Dominic,Emeka Duru
101,April fúùlù,Sunday Soyinka,Comedy,2003,Korede,Bayo Bankole,Foluke Daramola,Toyin Majekodunmi
102,Titanic Battle 2,Kalu Anya,Drama,2007,"Pressing Forward Production,Rich-Rock Productions",Chika Ike,Emeka Ike,Omotola Jalade-Ekeinde
103,Dry Fish,Tony Muonagor,Comedy,2003,Louis Merchandise,Ochando MacSmith,Ben Nwosu,Ngozi Nwosu
104,The Suitors,Ndubuisi Okoh,Action,2000,"Chullins Investment,Emmalex Associates Ltd.",Pat Attah,Peter Bunor,Pete Eneh
105,Raging Tigers 2,Chris Oge-Kalu,Drama,2008,Great King Productions,Justus Esiri,Amaechi Muonagor,Chinwe Owoh
106,Dirty Ambition,Olowajaiye Michael,Drama,2021,Julz Pictures,Williams Ajayi,George Armani Ayeke,Sunny Bassey
107,Rude Awakening,Teco Benson,Drama,2020,"Rok Studios,TFP Global Network",Gift Amaka Anizoba,Dianne Chukwu,Rachel Edwards
108,Indomie Lomo 2,Muyiwa Ademola,Drama,2004,Divine Touch Productions,Fathia Balogun,Saidi Balogun,Bisi Ibidapo
109,Time to Live,Shittu Taiwo,Short,2021,"Sutoritera,Take 7 Media Productions",Lulu Okonkwo,Mariah Ugbashi,Patrick Otoro
110,The King's Son 2,Moses Eskor,Action,2005,"Dux Ventures Ltd.,Petel Foundation Ltd.",Kenneth Ekanem,Desmond Elliot,Oge Okoye
111,Market Sellers,Tchidi Chikere,Comedy,2003,P. Collins Productions,Lilian Bach,Stella Damasus,Ifeanyi Egbulie
112,The Grandmasters,Tarila Thompson,Drama,2006,Ossy Affason Production,Zulu Adigwe,Richard Amechi,Jerry Amilo
113,Power of Justice,Adim Williams,Drama,2007,Rich-Rock Productions,Nonso Diobi,Omotola Jalade-Ekeinde,Bennidith Johnson
114,Killing Eva,Kayode Peters,Mystery,2022,Ibaka TV,Chinonso Arubayi,Mary Lazarus,Joseph Momodu
115,Games Women Play 2,Lancelot Oduwa Imasuen,Drama,2005,Reemmy Jes Production (RJP),Stella Damasus,Desmond Elliot,Omotola Jalade-Ekeinde
116,Four Crooks and a Rookie,Ugo Maduka,Action,2013,GoMad Multimedia,Biola Adebayo,Baaj Adebule,Anabelle Aghedo
117,The Hustle Is Real,"Uche Jombo,Edward Uka",Drama,2018,Uche Jombo Production,Ray Adeka,Chioma Chukwuka Akpotha,Clare Chinenye
118,Ero sese koowe 2,Rasheed Akano,Drama,2008,Zentury Pictures,Opeyemi Ayeola,Fathia Balogun,Rose Osanaiye
119,Idia's Melody,Ben Cassie,Drama,2023,Cave 10 Media,John Melvin Abraham,Emma Ayalogu,Chike Daniel
120,Keeping Promise,Chinneylove Eze,Drama,2021,ChinneyLove Eze Production,Osas Ighodaro,Uzor Arukwe,Anita Joseph
121,Iku Alhaji,Okiki Afolayan,Drama,2021,Adekaz Productions,Tobiloba Abraham,Adediwura Adesegha,Bose Akinola
122,The Wedding Plan,Solomon Mac-Auley,Drama,2022,"Avizariah,Rok Studios",David A. Apemiye,Titilope Atolagbe,Ogbolo Benstowe
123,Burden of Proof,Teco Benson,Drama,2023,Rok Studios,Omotola Adebayo,Roxy Antak,Alex Ayalogu
124,Venom,Amara Angel Amuzuo,Drama,2019,Nitaria Intl. Concept,Friday Abbah,Sophie Alakija,Henry Aloysius
125,Divine Twins 2,St. Collins Ozoemena,Drama,2007,O. Gabby Innovations,Emeka Amakeze,Ifeanyi Anukwem,Nnemeka Charles
126,Traumatised,Lancelot Oduwa Imasuen,Drama,2006,Reemy Jes Nigeria Ltd.,Ulabi Stephen Agba,Chioma Chukwuka Akpotha,Uche Alexmoore
127,Dumb Wife,Okey Ifeanyi,Comedy,2020,"Rok Studios,Ruth Kadiri's Production",Toosweet Annan,Victoria Egbuchere,Chichi Eze
128,The Incredible Father,Sonny McDon,Drama,2016,Don Shamma Production,Queeneth Agbor,Billy Archibong,Ajoke Badmus
129,Transition,Awal Abdulfatai Rahmat,Drama,2022,"Mela Movies,Rok Studios",Sandra Eke,Esther Eneh,Shiloh Ifechukwu
130,Yahoo Millionaire,Lancelot Oduwa Imasuen,Drama,2007,Okija-Amaka Pictures,Desmond Elliot,Rita Dominic,Uche Jombo
131,Queen Lateefat,Okiki Afolayan,Comedy,2021,Olasco Films,Olagoke Adetoye,Akeem Adeyemi,Murphy Afolabi
132,The Secretary,Desmond Elliot,Romance,2021,"Denziot Studios Production,Rok Studios",Chris Akwarandu,Desmond Elliot,Harnet Eweka
133,Mati a Zazzau,Yaseen Auwal,Drama,2020,"Asmasan Pictures,Sadau Pictures",Hadiza Blell,Umar Gombe,Jamila Nagudu
134,My Fiancee 2,Olaitan Adeyinka,Drama,2006,Frontmaster International,Mike Ezuruonye,Funmi Holder,Benedict Johnson
135,Cold Feet,Moses Inwang,Drama,2020,Sneeze Films,Femi Adebayo,Padita Agu,Segun Arinze
136,Tailor My Heart,Charles Uwagbai,Drama,2018,Oakfil Productions,Priscilla Austine,Austine Bamidele,Funny Bone
137,Mr. Trouble,Sunday Nnajiude,Comedy,2003,Emmalex Associates Ltd.,Lasa Amoro,Sam Loco Efe,Tom Njamanze
138,Buried,Charles Emere,Short,2021,Trifocal Studios,Seun Ajayi,Toyin Oshinaike,Belinda Agedah Yanga
139,My Ex-Wife,Chidi Anyanwu Chidox,Drama,2022,"Divine Touch Productions,Rok Studios",Chinelo Enemchukwu,Mike Godson,Doris Ifeka
140,Forest of Tears 4,Ifeanyi Ogbonna,Drama,2009,Onyu Best Bright,Kofi Adjorlolo,Walter Anga,Tonto Charity Dikeh
141,Empathy,Bola Akanbi,Drama,2022,Rok Studios,Favour Briggs Audu,Rachel Edwards,Seleye Fubara
142,Treasure Hunt 2,Sylvester Ogbolu,Drama,2007,Palico Productions,Hanks Anuku,Emma Ehumadu,Laz Ekwueme
143,Village Destroyers,Ugo Ugbor,Drama,2007,Global Update Pictures,Kenneth Okonkwo,Alex Usifo Omiagbo,Prince Emeka Ani
144,Hope of Glory 2,Sunday Nnajiude,Drama,2004,Snude Entertainment,Ngozi Ezeonu,Sola Sobowale,Maureen Solomon
145,Common Sense 2,Obi Callys Obinali,Comedy,2005,Ahbu Ventures,John Okafor,Victor Osigwe,
146,Fishbone,Editi Effiong,Short,2020,Anakle Films,Florentina Ago,Shaffy Bello,Okwuonye Chuks
147,Safe Secret,Chidi Chijioke,Drama,2021,"One & Two Productions,Rok Studios",Chineme Agu,Rita Edochie,Adaeze Eluke
148,Darkest Night,Ifeanyi Onyeabor,Action,2005,Reemmy Jes Production (RJP),Prince Emeka Ani,Segun Arinze,Sam Dede
149,Skinny Girl in Transit,Bunmi Ajakaiye,Comedy,2015,NdaniTV,Adeolu Adefarasin,Bisola Aiyeola,Ayoola Ayolola
150,"You, Me and the Guys",Esther Abah,Comedy,2017,"Esther Abah Visuals,Rok Studios,Twin Dragons Studio",Seun Akindele,Abayomi Alvin,Lota Chukwu
151,Cindy's Notes,Izu Ojukwu,Drama,2008,Amstel Malta Box Office,Jennifer Ayomo,Nonso Diobi,Bayray McNwizu
152,Baby Bump,Udezeh Onyinye,Drama,2022,"OMC Pictures,Rok Studios",Grace Abah,Chris Akwarandu,Sandra Albert
153,Gbanko gbi layé,Yemi Adegunju,Drama,2004,Yemi Adegunju Movie,Jide Kosoko,David Ojedokun,Feso Oyewole
154,Funeral,Newton I. Aduaka,Short,2002,Chaya Films,Fatima Adoum,Emile Abossolo M'bo,Niels Dubost
155,Symphony,Oraka Nvy Nnanyelu,Musical,2022,Sulcata Entertainment,Daniel Abua,Gbadamosi Adefemi,Pamilerin Adegoke
156,Aviva's Pearls,Rukky Sanda,Drama,2017,Rukky Sanda Studios,Destiny Amaka,Shaffy Bello,Stephen Damian
157,Sexy Girls 2,Caz Chidiebere,Drama,2009,Nigerian Movies,Benita Akpofe,Uju Aroh,Nonso Diobi
158,House on the Hill,Ikechukwu Onyeka,Horror,2017,Iykon Pictures,Joseph Benjamin,Jude Chukwuka,Jibola Dabo
159,Tell Me Why 2,Don Dyke,Drama,2008,Great King Productions,Tony Umez,Ngozi Ezeonu,Benedict Johnson
160,Royal Calabash,Tony Edozie,Drama,2019,Rockcelly Resources,Hayez Achu,Chizzy Alichi,Angela Brucesten
161,Johnbull & Rosekate,Tchidi Chikere,Drama,2007,P. Collins Productions,Nkem Owoh,Tony Alor,Charles Awurum
162,Kissing the Ghost,Okey Ifeanyi,Drama,2020,Harmer Brooks Movies,Seun Akindele,Dera Azuma,Mary Lazarus
163,A Time to Love 2,Osita Okoli,Drama,2007,"Emem Isong Production,Reemmy Jes Production (RJP)",Emma Ayalogu,Desmond Elliot,Ngozi Ezeonu
164,2 Broken,Simon Peacemaker,Drama,2016,R. Bliss Productions,Grace-Charis Bassey,Omotu Bissong,Iyke Michael
165,Dark Petals,Yemi Morafa,Drama,2022,"Oakfil Productions,Rok Studios",Eve Anselm,Mary Ann Apollo,Tayo Bamidele
166,Ijo,Gimsay Fatimah Binta,Short,2022,Hello July Films,Charles Etubiebi,Genoveva Umeh,
167,Poor-ish,Biodun Stephen,Drama,2021,"Desparanza Media,Rok Studios",Seun Ajayi,Bimbo Akintola,Pamilerin Ayodeji
168,When We Fall,Sampson Afolabi-Johnson,Drama,2021,Sarah David's Studios,Adewale Abiodun,Tomie Ajiboye,Uzor Arukwe
169,Standing Alone,Tchidi Chikere,Drama,2004,Okwytex Ventures Ltd.,Sophia Tchidi Chikere,Tchidi Chikere,Stella Damasus
170,The Perfect Time,Kayode Peters,Romance,2021,Elrab Entertainment,Ndidi Lynda Abiazem,Damilare Adetoye,Pearl Agwu
171,Rising Moon,Andy Nwakalor,Drama,2005,Samcivic Investment,Akume Akume,Nzubechi Anele,Prince Emeka Ani
172,More Than a Moment,Kenneth Nwache,Drama,2020,Aye Touch Films,Sunday Aaron,Queen Amarachi,Susan Festus
173,Die Another Day 2,Tarila Thompson,Action,2004,Ossy Affason Production,Sam Dede,Enebeli Elebuwa,Ayo Emmanuel
174,Alagogo Ide,Bogunmbe Abiola Paul,Drama,2021,"Oluwakemi Studio,Slate 1 Films",Femi Adebayo,Lateef Adedimeji,Damipe Adekoya
175,Famously Single,Damijo Efe Young,Drama,2017,"Film House Production,Rok Studios",Seun Akindele,Obieka Davies,Moyo Lawal
176,Recharge Card 2,Amayo Uzo Philips,Comedy,2006,Onye Eze Holding Production,Chiege Alisigwe,John Okafor,
177,Village Boys 2,Chika Onu,Drama,2005,Valseco Industries,Princess Egu,Osita Iheme,Chinedu Ikedieze
178,Schemers 2: Bad Babes,Andy Chukwu,Action,2004,O.J. Production,Bimbo Akintola,Andy Chukwu,Rita Dominic
179,Sheila,Dele Ishola,Drama,2019,"DD&T Systems,Say Something Africa",Perpetua Adefemi,Tomi Ajala,Olive Amaechi
180,Cross of Agony 2,Chika Onu,Drama,2006,Danga Movies International,Franca Brown,Princess Egu,Zack Orji
181,My Village People,Niyi Akinmolayan,Comedy,2021,"FilmOne Production,Temple Motion Pictures",Zubby Michael,Venita Akpofure,Amaechi Muonagor
182,When Love Is in Sync,Ben Cassie,Drama,2022,Moreplex,Somadina Adinma,Chinonso Arubayi,Vivian Kaima
183,Ewon Laafin,Yinka Akanbi,Drama,2015,Jaylex Aesthetic Productions,Onasanya Abdulrazaq,Olawale Adebayo,Oluwapelumi Adebayo
184,Osu merin,Taiwo Adesina,Drama,2007,Rasrab Movies,Toyin Adegbola,Toyin Adewale,Nancy
185,Open Secret,Mykel Ajaere,Drama,2021,Rok Studios,Ayo Adesanya Hassan,Mykel Ajaere,Sunday Daniel Ate
186,A Kiss from Rose,Osita Okoli,Drama,2004,"Flavour Lab Entertainment,Mike Nliam Production",Festus Aguebor,Fred Amata,Desmond Elliot
187,Prince of the Niger,Michael Jaja,Drama,2009,"Sky Movies,Softel Productions",Fabian Adibe,Ngozi Aliboye,Jackie Appiah
188,Diary of the Damned,Judith Audu,Drama,2019,"Judith Audu Productions,Rok Studios",Tunbosun Aiyedehin,Abayomi Alvin,Ates Brown
189,Based on Principle,Lancelot Oduwa Imasuen,Drama,2017,Wells Entertainment,Etinosa Idemudia,Shirley Igwe,Michael Isokpan
190,Wolf,Yemi Laja,Short,2020,CCG Film & Theatre Team Gloria Bamiloye,Obeleye Tubonimi Arinyedokiari,Peter Chigozie,Titilola Oladotun
191,Big Daddies,Michael Jaja,Comedy,2004,Solid Productions,Grace Amah,Adewale Elesho,Osita Iheme
192,The Women,Blessing Effiom Egbe,Drama,2017,BConcept Network Productions,Tomi Adeoye,Lilian Afegbai,Roxy Antak
193,Moment of Truth,Lancelot Oduwa Imasuen,Drama,2005,Elonel International Ltd.,Chika Achugonye,Chioma Chukwuka Akpotha,Fred Aseroma
194,Set-Up,Chico Ejiro,Drama,2000,"Grand Touch Pictures,Kingdom Worth",Jayke Aernan,Francis Duru,Pete Edochie
195,A Dead Man's Souvenir,Tissy Nnachi,Drama,2023,Rok Studios,Agara Victoria Adurapemi,Oluyinu Ayomide,Arielyn Bassek
196,Ajoke Point One,Bolaji Amusan,Drama,2004,Toymax Films Holding,Toyin Adegbola,Toyin Afolayan,Bolaji Amusan
197,Coat of Harm,Stanlee Ohikhuare,Short,2017,Mighty Jot Studios,Funky Mallam,Donald Ndubuisi,David Ohikhuare
198,Other Than Him,Chidi Anyanwu Chidox,Drama,2020,"B.O.G. Entertainment,Rok Studios",Owen David,Luchy Donalds,Rita Edochie
199,The People's Power,Alex Ausman,Comedy,2020,Nwa Carpenter Productions,Okechukwu Anyioha,Rita Arawore,Chikwesiri Azubuike
200,Saviour 2,Ebere Onwu,Drama,2006,Emmalex Associates Ltd.,Wilfred Ajayi,Chioma Chukwuka Akpotha,John Anijesu Freeman
201,Bedroom Points,Judith Audu,Comedy,2018,Hi-Impact TV,Omowunmi Dada,Frankincense Eche-Ben,Adeniyi Johnson
202,Silent Scandal,T.K. Falope,Drama,2009,Vivian Ejike Production,Peachman Akputa,Oladimeji Alimi,Isaac David
203,Double Game 2,Emmanuel Ekong,Drama,2007,Prince Justine International,Wale Adebayo,Chioma Chukwuka Akpotha,Femi Brainard
